Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
preventing crime	respect, admire, support	prevent, patrol, profile	crime prevention, neighborhood watches, crimewatch, police patrols, police presence	crime, criminality, criminals, crooks, organised crime, organized crime, crookedness, corruption	crimestopper, crime stopper, lawman, law man, policeman, police man, police officer, officer of the peace	preventative, watchful, observant, vigilant		are_inspired_by, report_to	are_overshadowed_by, are_underappreciated_by
preventing terrorism	respect, admire, support	prevent, patrol, profile	counterterrorism, counter-terrorism, homeland security	terrorism, terrorists	counter-terrorist, counterterrorist	preventative, watchful, dogged, determined		are_inspired_by, report_to	
probing the mind	agree_with, 	probe, question,  mind read, mindread	psychoanalysis, psychotherapy, hypnosis, psychiatry, Freudian analysis, headshrinking, CAT scans, talk therapy, free association		psychologist, psychotherapist, psychiatrist, headshrink, shrink	probing, insightful, questioning	study_under, learn_from, are_taught_by	are_mentored_by	are_contradicted_by
producing Hipbop records	respect	rap, record	hipbop, hip hop, hiphop, rap music, rapping, rap lyrics		producer, musician, music producer, rapper, rap mogul, music mogul	musical, urban, vulgar	work_with, are_hired_by, are_signed_by, sign_with		compete_with
producing Hollywood movies	respect	produce, film	make believe, Hollywood, studio production, movie studios, blockbusters,  production values, spectacles, big budgets, sequels	indy movies, home movies	Hollywood film maker, Hollywood filmmaker, Hollywood producer, studio producer, producer, movie mogul	crass, bombastic, capitalistic	work_with, are_hired_by, are_signed_by, sign_with		compete_with
promoting air travel	respect	fly, transport, fly around	air travel, airplanes, air miles, airmiles, airports, in-flight movies, flight stewards, stewardesses		air traveler, air traveller	well-traveled, well-travelled	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting American values	respect, admire, look_up_to, defend	extoll, propagandize, propagandise, exhort, democratise, democratize, salute	American values, stars and stripes, 		boy scout, American hero, real American	preachy, corny, patriotic	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting atheism	defend, support, admire, respect,	blaspheme, 	atheism, atheists, agnostics, science, secularism, secularists, the big bang, disbelief, 	faith, religion, superstition, intelligent design, creationism, bible studies, God, theism, believers, dogma, creed	atheist, blasphemer, unbeliever, heretic	disbelieving, blasphemous, heretical	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting big business	dislike, distrust	trade, sell, merge, acquire, capitalise, finance, fund, capitalize,	big business, corporate America, conglomerates, too big to fail, capitalism, big oil, consumerism, globalization, globalisation, deregulation, monopolies	regulation, red tape, anti-trust legislation, 	businessman, business person, tycoon, mogul, CEO, billionaire, capitalist, big business, robber baron	rich, wealthy, powerful, capitalist, capitalistic	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting boxing fights	dislike, distrust	box, rouse	boxing, prize fights, fight nights, boxers, prize fighters, title fights	fight fixing	boxing promoter, fight promoter	crooked, corrupting, 	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting Buddhism	admire, respect, praise	calm, meditate, chill	Buddhism, Buddha, karma, reincarnation, moderation, meditation		Buddhist	calm, meditative, 	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting capitalism	dislike, distrust	trade, sell, merge, acquire, capitalise, finance, fund, capitalize,	capitalism, big business, consumerism, free trade, globalization, globalisation	communism, socialism, tariffs, trade wars, trade barriers 	capitalist, big business, businessman, business person, tycoon, mogul	rich, wealthy, powerful, capitalist, capitalistic	interview, are_influenced_by, identify_with	shill_for, propagandize_for, are_funded_by	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting Catholic values	dislike, distrust, believe_in	pontificate, preach, bless, pray with, pray for , evangelise, evangelize	Catholic values, Catholics, Catholicism, the holy trinity, transubstantiation, the Spanish inquisition, the Vatican, popes, the papacy, the counter-reformation	heresy, Protestantism	Catholic, 	religious, devout, conservative	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting charity	believe_in, support	donate, donate to, feed, house, nurture, 	charity, philanthropy, 	selfishness, greed, indifference, inhumanity	philanthropist, benefactor, giver	charitable, philanthropic, generous, caring, giving	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting circus attractions	love	titillate, promote, big up	circuses, carnivals, clowns, lion tamers, acrobats, circus attractions, bearded ladies, circus freaks, trapezes, 		ringleader, promoter, carnival barker	catchy, enticing, 	compete_with		compete_against, are_ruined_by
promoting communism	dislike, distrust, curse	redistribute wealth, jail the rich	communism, socialism, Marxism, Marxist-Leninism, wealth redistribution, USSR, the Soviet Union	capitalism, NATO	communist, Marxist, Leninist, Marxist-Leninist, socialist, leftist, anti-capitalist, anticapitalist, left-winger, leftwinger	communist, socialist, anticapitalist	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting conservative values	respect, defend	chastise, preach to, preach, penalise, penalize, 	 conservative values, conservatism, Fox News, neocons, the Republican party, freedom caucus, tea party, right wing, right wingers	CNN, liberalism, radicalism, progressives, radicals,  abortions, planned parenthood, immigration, illegal immigration, illegal immigrants, illegal aliens, political correctness	conservative, traditionalist, rightwinger, right-winger	conservative, unprogressive, nostalgic	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting Darwinism	admire, respect, look_up_to, defend	evolve	evolution, Darwinism, natural selection	intelligent design, creationism, Adam and Eve, the Garden of Eden	evolutionist, scientist, evolutionary biologist, Darwinist	evolutionary, scientific	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting democracy	admire, respect, look_up_to	vote, elect, campaign for, campaign against, vote for, vote against, run against	democracy,  free speech, freedom of expression, freedom of assembly, free elections	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression,  imperial stormtroopers,  imperial storm-troopers, 	democrat, campaigner, antitotalitarian, anti-totalitarian, antifascist, anti-fascist	progressive, democratic	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting diversity	admire, respect, look_up_to, believe_in	tolerate, accept, welcome	diversity, tolerance, openness, immigration, melting pots	anti-immigration, homogeneity, intolerance, racism, xenophobia, zero tolerance, white supremacy	diversity advocate, social reformer, social campaigner	open-minded, embrasive, tolerant, multicultural	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting Eastern philosophy	admire, respect, believe_in	calm, meditate, chill	Buddhism, Buddha, karma, reincarnation, Zen, meditation		Eastern philosophy, guru, dualist, philosopher	philosophical, Zen, spiritual, dualistic, 	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting enlightenment	admire, respect, look_up_to, defend, support	reason, think, research, reason about	enlightenment, rationality, intellectualism, humanism, atheism, humanists, atheists	irrationality, anti-intellectualism, superstition,	enlightenment philosopher, philosopher	philosophical, enlightened	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting evolutionary theory	admire, respect, look_up_to, defend	evolve	evolution, Darwinism, natural selection	creationism, intelligent design, genesis, bibical literalism	evolutionist, scientist, evolutionary biologist, Darwinist	evolutionary, scientific	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting Fascism	curse, hate, despise, condemn, denounce	suppress, oppress, subjugate, repress, crush, disenfranchise,  disenfranchize	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression,  imperial stormtroopers,  imperial storm-troopers, 	democracy,  free speech, freedom of expression, freedom of assembly, free elections	fascist, totalitarian, 	fascistic, totalitarian, oppressive, intolerant, undemocratic	interview, are_influenced_by, identify_with, are_corrupted_by	shill_for, propagandize_for, kill_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting feminism	admire, respect, defend	respect, 	feminism, feminists, misandry, women's lib, women's liberation	misogyny, machismo, male domination, chauvism, sexism	feminist, virago, firebrand, bossy boots	shrill, preachy, fiesty	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
promoting greed	curse, hate, despise, condemn, denounce	steal from, rob, hoard, accumulate, 	money, wealth, gold, riches, loot, selfishness, hoarding, Cayman islands, Swiss banks, greed	charity, philanthropy, sharing, generosity, wealth redistribution	hoarder, greedy guts, moneybags,moneybag, moneybag, tycoon, mogul, capitalist, ubercapitalist	greedy, avaricious, covetous, acquisitive, capitalistic, grasping	interview, are_influenced_by, identify_with	shill_for, propagandize_for	are_criticized_by, argue_with, preach_to, lecture_to, are_lectured_by, condescend_to
